IdFuente,TipoFuente,FechaCarga
F001,Web,2025-04-10
F002,CSV,2025-01-01
F003,CSV,2025-03-12
F004,CSV,2025-01-28
F005,Red Social,2025-08-02
F006,Web,2025-05-30
F007,Red Social,2025-09-10
F008,Red Social,2025-08-23
F009,Web,2025-01-02
F010,Red Social,2025-07-21
F011,CSV,2025-09-08
F012,Red Social,2025-03-07
F013,Red Social,2025-05-13
F014,Web,2025-06-02
F015,Web,2025-01-28
F016,Web,2025-02-12
F017,Web,2025-03-29
F018,Red Social,2025-07-21
F019,Web,2025-07-17
F020,Red Social,2025-01-01
F021,Red Social,2025-01-14
F022,CSV,2025-01-21
F023,Red Social,2025-01-26
F024,Web,2025-02-15
F025,CSV,2025-07-10
F026,Red Social,2025-01-26
F027,Web,2025-01-25
F028,Web,2025-07-20
F029,Web,2025-08-19
F030,Red Social,2025-08-29
F031,Web,2025-07-12
F032,Web,2025-04-05
F033,Web,2025-08-16
F034,CSV,2025-02-16
F035,CSV,2025-07-26
F036,Web,2025-08-23
F037,Web,2025-07-10
F038,CSV,2025-02-05
F039,CSV,2025-09-04
F040,Web,2025-07-09
F041,Web,2025-01-19
F042,Red Social,2025-05-02
F043,Web,2025-01-30
F044,Web,2025-09-12
F045,Red Social,2025-07-22
F046,CSV,2025-03-25
F047,Web,2025-05-01
F048,Web,2025-06-05
F049,Red Social,2025-07-17
F050,CSV,2025-02-25
F051,CSV,2025-07-16
F052,Web,2025-07-10
F053,Red Social,2025-03-18
F054,Web,2025-07-03
F055,Web,2025-07-26
F056,Web,2025-09-10
F057,Web,2025-06-10
F058,CSV,2025-05-12
F059,Web,2025-07-31
F060,Web,2025-05-08
F061,Red Social,2025-01-26
F062,CSV,2025-08-19
F063,Web,2025-06-06
F064,CSV,2025-06-18
F065,CSV,2025-08-12
F066,Red Social,2025-03-28
F067,CSV,2025-04-23
F068,Web,2025-07-10
F069,Web,2025-01-10
F070,Web,2025-07-25
F071,Red Social,2025-05-05
F072,CSV,2025-08-15
F073,CSV,2025-03-10
F074,Red Social,2025-07-07
F075,CSV,2025-02-20
F076,CSV,2025-05-21
F077,Red Social,2025-08-07
F078,CSV,2025-08-04
F079,CSV,2025-07-21
F080,CSV,2025-06-13
F081,Red Social,2025-02-23
F082,Red Social,2025-06-23
F083,Web,2025-02-18
F084,Red Social,2025-03-28
F085,Web,2025-04-18
F086,CSV,2025-04-15
F087,Web,2025-02-03
F088,Red Social,2025-04-02
F089,Web,2025-04-13
F090,Web,2025-05-29
F091,Web,2025-08-24
F092,Red Social,2025-05-29
F093,Web,2025-07-13
F094,Red Social,2025-08-15
F095,Red Social,2025-01-01
F096,Red Social,2025-02-04
F097,CSV,2025-03-22
F098,Red Social,2025-03-19
F099,Web,2025-06-14
F100,Web,2025-04-02
