IdProducto,Nombre,Categoría
1,Producto_1,Juguetes
2,Producto_2,Electrónica
3,Producto_3,Juguetes
4,Producto_4,Ropa
5,Producto_5,Juguetes
6,Producto_6,Hogar
7,Producto_7,Ropa
8,Producto_8,Deportes
9,Producto_9,Hogar
10,Producto_10,Electrónica
11,Producto_11,Hogar
12,Producto_12,Hogar
13,Producto_13,Electrónica
14,Producto_14,Hogar
15,Producto_15,Juguetes
16,Producto_16,Deportes
17,Producto_17,Electrónica
18,Producto_18,Ropa
19,Producto_19,Deportes
20,Producto_20,Ropa
21,Producto_21,Deportes
22,Producto_22,Juguetes
23,Producto_23,Deportes
24,Producto_24,Juguetes
25,Producto_25,Deportes
26,Producto_26,Hogar
27,Producto_27,Ropa
28,Producto_28,Hogar
29,Producto_29,Electrónica
30,Producto_30,Juguetes
31,Producto_31,Juguetes
32,Producto_32,Hogar
33,Producto_33,Juguetes
34,Producto_34,Juguetes
35,Producto_35,Hogar
36,Producto_36,Hogar
37,Producto_37,Hogar
38,Producto_38,Ropa
39,Producto_39,Electrónica
40,Producto_40,Electrónica
41,Producto_41,Electrónica
42,Producto_42,Hogar
43,Producto_43,Hogar
44,Producto_44,Juguetes
45,Producto_45,Electrónica
46,Producto_46,Deportes
47,Producto_47,Juguetes
48,Producto_48,Hogar
49,Producto_49,Juguetes
50,Producto_50,Ropa
51,Producto_51,Electrónica
52,Producto_52,Electrónica
53,Producto_53,Hogar
54,Producto_54,Juguetes
55,Producto_55,Deportes
56,Producto_56,Electrónica
57,Producto_57,Deportes
58,Producto_58,Electrónica
59,Producto_59,Ropa
60,Producto_60,Electrónica
61,Producto_61,Hogar
62,Producto_62,Ropa
63,Producto_63,Juguetes
64,Producto_64,Hogar
65,Producto_65,Juguetes
66,Producto_66,Electrónica
67,Producto_67,Juguetes
68,Producto_68,Juguetes
69,Producto_69,Ropa
70,Producto_70,Electrónica
71,Producto_71,Deportes
72,Producto_72,Electrónica
73,Producto_73,Deportes
74,Producto_74,Electrónica
75,Producto_75,Juguetes
76,Producto_76,Juguetes
77,Producto_77,Juguetes
78,Producto_78,Electrónica
79,Producto_79,Juguetes
80,Producto_80,Hogar
81,Producto_81,Electrónica
82,Producto_82,Juguetes
83,Producto_83,Deportes
84,Producto_84,Ropa
85,Producto_85,Hogar
86,Producto_86,Hogar
87,Producto_87,Ropa
88,Producto_88,Juguetes
89,Producto_89,Juguetes
90,Producto_90,Juguetes
91,Producto_91,Juguetes
92,Producto_92,Juguetes
93,Producto_93,Deportes
94,Producto_94,Juguetes
95,Producto_95,Ropa
96,Producto_96,Juguetes
97,Producto_97,Juguetes
98,Producto_98,Deportes
99,Producto_99,Juguetes
100,Producto_100,Ropa
101,Producto_101,Hogar
102,Producto_102,Electrónica
103,Producto_103,Juguetes
104,Producto_104,Hogar
105,Producto_105,Electrónica
106,Producto_106,Deportes
107,Producto_107,Juguetes
108,Producto_108,Electrónica
109,Producto_109,Electrónica
110,Producto_110,Hogar
111,Producto_111,Ropa
112,Producto_112,Deportes
113,Producto_113,Hogar
114,Producto_114,Juguetes
115,Producto_115,Deportes
116,Producto_116,Ropa
117,Producto_117,Ropa
118,Producto_118,Electrónica
119,Producto_119,Hogar
120,Producto_120,Juguetes
121,Producto_121,Deportes
122,Producto_122,Juguetes
123,Producto_123,Juguetes
124,Producto_124,Juguetes
125,Producto_125,Deportes
126,Producto_126,Electrónica
127,Producto_127,Deportes
128,Producto_128,Deportes
129,Producto_129,Deportes
130,Producto_130,Electrónica
131,Producto_131,Ropa
132,Producto_132,Juguetes
133,Producto_133,Hogar
134,Producto_134,Hogar
135,Producto_135,Hogar
136,Producto_136,Ropa
137,Producto_137,Electrónica
138,Producto_138,Juguetes
139,Producto_139,Ropa
140,Producto_140,Electrónica
141,Producto_141,Deportes
142,Producto_142,Hogar
143,Producto_143,Ropa
144,Producto_144,Hogar
145,Producto_145,Juguetes
146,Producto_146,Electrónica
147,Producto_147,Ropa
148,Producto_148,Hogar
149,Producto_149,Hogar
150,Producto_150,Ropa
151,Producto_151,Ropa
152,Producto_152,Electrónica
153,Producto_153,Hogar
154,Producto_154,Electrónica
155,Producto_155,Deportes
156,Producto_156,Ropa
157,Producto_157,Juguetes
158,Producto_158,Juguetes
159,Producto_159,Deportes
160,Producto_160,Electrónica
161,Producto_161,Ropa
162,Producto_162,Hogar
163,Producto_163,Ropa
164,Producto_164,Juguetes
165,Producto_165,Electrónica
166,Producto_166,Deportes
167,Producto_167,Hogar
168,Producto_168,Juguetes
169,Producto_169,Ropa
170,Producto_170,Electrónica
171,Producto_171,Juguetes
172,Producto_172,Hogar
173,Producto_173,Juguetes
174,Producto_174,Deportes
175,Producto_175,Deportes
176,Producto_176,Ropa
177,Producto_177,Deportes
178,Producto_178,Juguetes
179,Producto_179,Juguetes
180,Producto_180,Juguetes
181,Producto_181,Juguetes
182,Producto_182,Deportes
183,Producto_183,Hogar
184,Producto_184,Deportes
185,Producto_185,Hogar
186,Producto_186,Hogar
187,Producto_187,Juguetes
188,Producto_188,Deportes
189,Producto_189,Ropa
190,Producto_190,Hogar
191,Producto_191,Electrónica
192,Producto_192,Hogar
193,Producto_193,Ropa
194,Producto_194,Deportes
195,Producto_195,Deportes
196,Producto_196,Hogar
197,Producto_197,Electrónica
198,Producto_198,Ropa
199,Producto_199,Ropa
200,Producto_200,Hogar
